event_id,session_id,user_id,video_id,video_title,event_type,player_state,playback_rate,current_time_sec,video_duration_sec,created_at_utc,client_created_at_local,client_tz_offset_min,seek_from_sec,seek_to_sec
ccc885f8-ee3f-4c93-9cb6-de1f65d6ac0d,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,ready,5,1,0,1909,2026-03-12T19:45:14.092000,2026-03-13T01:15:14.000Z,330,,
d55ef93a-2358-4db3-9983-c610892e4c08,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,buffering,3,1,0,1909,2026-03-12T19:45:14.551446,2026-03-13T01:15:14.467Z,330,,
9eb5693f-f070-4567-ac7e-090172ada6e5,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,play,1,1,0.177148,1909,2026-03-12T19:45:16.717241,2026-03-13T01:15:16.630Z,330,,
dfff1e31-2fcb-4fd0-b0f6-9462839683de,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,pause,2,1,398.081838,1909,2026-03-12T19:52:17.895199,2026-03-13T01:22:17.713Z,330,,
a0195a87-56f5-4b69-bea1-7f2002818116,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,buffering,3,1,397.794674,1909,2026-03-12T19:52:27.407258,2026-03-13T01:22:27.320Z,330,,
1bcfb3a7-1323-44b3-b619-6d0f1e150185,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,seek,4,1,357.119886,1909,2026-03-12T19:52:28.301128,2026-03-13T01:22:28.126Z,330,397.794674,357.119886
aa161b19-2891-4bd5-8ada-ef9b4e988a57,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,play,1,1,356.998817,1909,2026-03-12T19:52:29.734413,2026-03-13T01:22:29.420Z,330,,
5762f14d-ff9b-4609-9fd5-175cc01824cb,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,ratechange,1,1,356.998817,1909,2026-03-12T19:54:31.772863,2026-03-13T01:24:31.582Z,330,,
0a62d4d2-acee-4229-a2d0-d1a42079e610,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,pause,2,1,1025.148817,1909,2026-03-12T20:06:04.941875,2026-03-13T01:36:04.460Z,330,,
f6369ce6-1a14-451c-9efe-97658ed39e96,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,buffering,3,1,1025.09113,1909,2026-03-12T20:06:17.972231,2026-03-13T01:36:17.594Z,330,,
dd0a91b9-bc83-4299-b57b-1875a3369303,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,seek,4,1,990.362929,1909,2026-03-12T20:06:18.078430,2026-03-13T01:36:17.919Z,330,1025.09113,990.362929
16d74300-6ed9-429f-8bb3-5bed968db6da,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,play,1,1,990.232956,1909,2026-03-12T20:06:18.798889,2026-03-13T01:36:18.526Z,330,,
af0b10ad-e76d-48cc-a491-89632569f76e,84f34c30-636e-423f-940b-fa57b6f1e185,learner_001,zOjov-2OZ0E,Introduction to Programming and Computer Science - Full Course,pause,2,1,1640.508381,1909,2026-03-12T20:18:22.166986,2026-03-13T01:48:22.019Z,330,,
1af04df5-3a99-4284-ac11-5d1e018d0235,884ced1e-daca-46ff-ad81-6922c3c92cb9,learner_002,K5KVEU3aaeQ,Python Full Course for Beginners,ready,5,1,0,15948,2026-03-04T04:08:40.413000,2026-03-04T09:38:40.000Z,330,,
123e36a4-198f-4ded-8454-c9332d80454d,884ced1e-daca-46ff-ad81-6922c3c92cb9,learner_002,K5KVEU3aaeQ,Python Full Course for Beginners,buffering,3,1,0,15948,2026-03-04T04:08:40.683366,2026-03-04T09:38:40.505Z,330,,
e9f8b9ac-1608-456a-b736-d664902d649f,884ced1e-daca-46ff-ad81-6922c3c92cb9,learner_002,K5KVEU3aaeQ,Python Full Course for Beginners,play,1,1,0.296857,15948,2026-03-04T04:08:42.047338,2026-03-04T09:38:41.722Z,330,,
837ac4d9-f2d1-4a16-88a2-4bf19fa0f7c5,884ced1e-daca-46ff-ad81-6922c3c92cb9,learner_002,K5KVEU3aaeQ,Python Full Course for Beginners,pause,2,1,1279.609498,15948,2026-03-04T04:31:25.276955,2026-03-04T10:01:25.034Z,330,,
cb6304b6-ac83-4ee4-93ce-a6626449d2f1,884ced1e-daca-46ff-ad81-6922c3c92cb9,learner_002,K5KVEU3aaeQ,Python Full Course for Beginners,play,1,1,1279.588068,15948,2026-03-04T04:31:39.253851,2026-03-04T10:01:38.832Z,330,,
